Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Biological Process	GO:0097435	supramolecular fiber organization	 	6.921E-9	3.730E-5	4.085E-6	3.746E-5	39	992	CDKN2A,ABL1,MAP2,ACTN1,SSH1,COL14A1,COL12A1,WIPF1,ANXA2,CARMIL1,RGCC,GAS7,NOX4,PALM2AKAP2,MICAL2,FOXP1,PROX1,CYP1B1,BCL2,SIRPA,SIX4,ITGB5,BFSP1,MPRIP,NRP1,KANK1,DST,PXDN,PDLIM3,SVIL,DPT,CAPZB,ARPIN-AP3S2,EDN1,TGFB2,FMNL3,LOXL2,LUM,SMAD3
GO: Biological Process	GO:0000904	cell morphogenesis involved in differentiation	 	7.579E-9	4.085E-5	4.085E-6	3.746E-5	41	1081	ABL1,TRIO,MAP2,MATN2,MBP,ACTN1,F2R,TENM2,ALCAM,FLRT2,MMP2,FNDC3B,COL6A3,ANK3,TNC,CARMIL1,CCDC80,BTBD3,RADIL,FOXP1,FYN,PROX1,BCL2,TIAM2,NRP1,STIM1,RGMA,PRDM8,KANK1,DST,NOVA1,ARHGEF28,RTN4,LAMA2,LAMB1,LAMC2,EDN1,EDNRA,TGFB2,SPRY4,MACF1
GO: Biological Process	GO:0040011	locomotion	 	9.607E-9	5.178E-5	4.707E-6	4.316E-5	57	1834	ABL1,TRIO,MATN2,F2R,LYST,TENM2,SSH1,MTUS1,RIN2,AMOTL1,ACKR2,ALCAM,CMKLR1,FLRT2,MMP2,SMURF2,JCAD,COL6A3,ANK3,TNC,CARMIL1,RGCC,NOX4,CCDC80,AKAP12,IGFBP3,PDGFD,FOXP1,FYN,PROX1,MYC,CYP1B1,SRP54,BCL2,NRP1,STIM1,MAGI2,KANK1,SULF1,JAM3,NOVA1,SIN3B,RTN4,ARPIN-AP3S2,LAMA2,LAMB1,LAMC2,ADTRP,EDN1,EDNRA,TGFB2,THBS4,MACF1,CFAP69,SMAD3,SPATA13,SMAD7
GO: Biological Process	GO:0120039	plasma membrane bounded cell projection morphogenesis	 	2.240E-8	1.207E-4	1.006E-5	9.227E-5	37	950	ABL1,TRIO,MAP2,MATN2,MBP,TENM2,ALCAM,FLRT2,MMP2,COL6A3,ANK3,TNC,GAS7,CCDC80,BTBD3,FOXP1,FYN,BCL2,TIAM2,NRP1,STIM1,RGMA,PRDM8,KANK1,DST,NOVA1,ARHGEF28,RTN4,ARPIN-AP3S2,LAMA2,LAMB1,LAMC2,EDN1,EDNRA,TGFB2,THBS4,MACF1
GO: Biological Process	GO:0048729	tissue morphogenesis	 	2.759E-8	1.487E-4	1.071E-5	9.820E-5	41	1132	ABL1,ESR1,PKD2,ALCAM,MMP2,ALDH1A3,FST,SMURF2,FOXL1,TNC,CHSY1,POU5F1,AKAP12,IGFBP3,MICAL2,OSR1,PRICKLE2,FOXP1,FYN,PROX1,MYC,INHBA,BCL2,SIX4,NRP1,RGMA,MAGI2,PTPRE,SULF1,CRISPLD2,ARHGEF28,TCF21,CASP8,EDN1,EDNRA,MSGN1,TGFB2,HEYL,MACF1,SMAD3,SMAD7
GO: Biological Process	GO:0048858	cell projection morphogenesis	 	2.782E-8	1.499E-4	1.071E-5	9.820E-5	37	958	ABL1,TRIO,MAP2,MATN2,MBP,TENM2,ALCAM,FLRT2,MMP2,COL6A3,ANK3,TNC,GAS7,CCDC80,BTBD3,FOXP1,FYN,BCL2,TIAM2,NRP1,STIM1,RGMA,PRDM8,KANK1,DST,NOVA1,ARHGEF28,RTN4,ARPIN-AP3S2,LAMA2,LAMB1,LAMC2,EDN1,EDNRA,TGFB2,THBS4,MACF1
GO: Biological Process	GO:0007411	axon guidance	 	3.221E-8	1.736E-4	1.136E-5	1.042E-4	22	385	TRIO,MATN2,TENM2,ALCAM,FLRT2,MMP2,COL6A3,ANK3,TNC,CCDC80,FOXP1,FYN,NRP1,STIM1,NOVA1,RTN4,LAMA2,LAMB1,LAMC2,EDN1,EDNRA,TGFB2
GO: Biological Process	GO:0097485	neuron projection guidance	 	3.372E-8	1.818E-4	1.136E-5	1.042E-4	22	386	TRIO,MATN2,TENM2,ALCAM,FLRT2,MMP2,COL6A3,ANK3,TNC,CCDC80,FOXP1,FYN,NRP1,STIM1,NOVA1,RTN4,LAMA2,LAMB1,LAMC2,EDN1,EDNRA,TGFB2
GO: Biological Process	GO:0030334	regulation of cell migration	 	5.171E-8	2.787E-4	1.610E-5	1.477E-4	43	1249	ABL1,F2R,SSH1,MTUS1,RIN2,AMOTL1,CMKLR1,FLRT2,MMP2,SMURF2,JCAD,TNC,CARMIL1,RGCC,NOX4,AKAP12,IGFBP3,PDGFD,FOXP1,PROX1,MYC,CYP1B1,BCL2,NRP1,MAGI2,KANK1,SULF1,JAM3,SIN3B,RTN4,ARPIN-AP3S2,LAMA2,LAMB1,LAMC2,ADTRP,EDN1,EDNRA,TGFB2,THBS4,MACF1,SMAD3,SPATA13,SMAD7
GO: Biological Process	GO:0032990	cell part morphogenesis	 	5.378E-8	2.899E-4	1.610E-5	1.477E-4	37	983	ABL1,TRIO,MAP2,MATN2,MBP,TENM2,ALCAM,FLRT2,MMP2,COL6A3,ANK3,TNC,GAS7,CCDC80,BTBD3,FOXP1,FYN,BCL2,TIAM2,NRP1,STIM1,RGMA,PRDM8,KANK1,DST,NOVA1,ARHGEF28,RTN4,ARPIN-AP3S2,LAMA2,LAMB1,LAMC2,EDN1,EDNRA,TGFB2,THBS4,MACF1
GO: Biological Process	GO:0001501	skeletal system development	 	6.681E-8	3.601E-4	1.895E-5	1.738E-4	34	863	ESR1,TRPS1,FOXN3,MSMO1,ALCAM,CMKLR1,MMP2,FST,FOXL1,CREB3L2,ANXA2,ANXA6,CHSY1,IGFBP3,VCAN,OSR1,FOXP1,MYC,SIX4,NRP1,SULF1,RABGAP1L,CRISPLD2,SIN3B,RTN4,LRRK1,EDN1,EDNRA,TGFB2,LOXL2,KIAA1217,LUM,SMAD3,SMAD7
GO: Biological Process	GO:0061061	muscle structure development	 	8.305E-8	4.476E-4	2.238E-5	2.052E-4	38	1044	ACTN1,RXRG,COL14A1,FHL2,COL6A3,NOX4,MIR100,AKAP12,IGFBP3,FOXP1,ZFHX3,PROX1,MYC,BCL2,SIX4,PTGFRN,STIM1,PDLIM3,NFATC2,SVIL,JAM3,SIN3B,ARHGEF28,TCF21,SYNE1,CAPZB,LAMA2,LAMB1,CASP7,EDN1,EDNRA,MSGN1,TGFB2,HEYL,SPRY4,EPAS1,SMAD3,SMAD7
GO: Biological Process	GO:2000145	regulation of cell motility	 	9.115E-8	4.913E-4	2.340E-5	2.145E-4	44	1321	ABL1,F2R,SSH1,MTUS1,RIN2,AMOTL1,CMKLR1,FLRT2,MMP2,SMURF2,JCAD,TNC,CARMIL1,RGCC,NOX4,AKAP12,IGFBP3,PDGFD,FOXP1,PROX1,MYC,CYP1B1,BCL2,NRP1,MAGI2,KANK1,SULF1,JAM3,SIN3B,RTN4,ARPIN-AP3S2,LAMA2,LAMB1,LAMC2,ADTRP,EDN1,EDNRA,TGFB2,THBS4,MACF1,CFAP69,SMAD3,SPATA13,SMAD7
GO: Biological Process	GO:0032989	cellular component morphogenesis	 	9.950E-8	5.363E-4	2.360E-5	2.164E-4	40	1141	ABL1,TRIO,MAP2,MATN2,MBP,ACTN1,TENM2,ALCAM,FLRT2,MMP2,COL6A3,ANK3,TNC,GAS7,CCDC80,BTBD3,FOXP1,FYN,PROX1,BCL2,SIX4,TIAM2,NRP1,STIM1,RGMA,PRDM8,KANK1,DST,NOVA1,ARHGEF28,RTN4,ARPIN-AP3S2,LAMA2,LAMB1,LAMC2,EDN1,EDNRA,TGFB2,THBS4,MACF1
GO: Biological Process	GO:0009967	positive regulation of signal transduction	 	1.007E-7	5.429E-4	2.360E-5	2.164E-4	55	1861	CDKN2A,DOK6,TRAF1,ABL1,ESR1,TRPS1,LY96,TLR6,F2R,NOD1,SSH1,PKD2,MMP2,ALDH1A3,MN1,SMURF2,JCAD,CHSY1,NOX4,POU5F1,AKAP12,PPP2R1B,IGFBP3,PDGFD,FOXP1,PDE5A,NUP93,PUM1,FYN,PROX1,MYC,CYP1B1,INHBA,ZNF423,MAP3K12,NRP1,KSR1,KANK1,SULF1,SUPT5H,RTN4,LAMA2,GRB10,LAMB1,CASP8,LRRK1,GRIN2D,EDN1,EDNRA,TGFB2,ANGPTL2,MACF1,SMAD3,TPD52L1,PLCE1
GO: Biological Process	GO:0060485	mesenchyme development	 	1.137E-7	6.130E-4	2.554E-5	2.342E-4	24	485	PKD2,ALCAM,TNC,ANXA6,RGCC,RADIL,OSR1,MYC,MASP1,BCL2,SIX4,NRP1,TCF21,RTN4,CAPZB,LAMB1,EDN1,EDNRA,MSGN1,TGFB2,HEYL,LOXL2,SMAD3,SMAD7
GO: Biological Process	GO:0048812	neuron projection morphogenesis	 	1.347E-7	7.262E-4	2.905E-5	2.664E-4	35	932	ABL1,TRIO,MAP2,MATN2,MBP,TENM2,ALCAM,FLRT2,MMP2,COL6A3,ANK3,TNC,GAS7,CCDC80,BTBD3,FOXP1,FYN,BCL2,TIAM2,NRP1,STIM1,RGMA,PRDM8,DST,NOVA1,ARHGEF28,RTN4,LAMA2,LAMB1,LAMC2,EDN1,EDNRA,TGFB2,THBS4,MACF1
GO: Biological Process	GO:0009611	response to wounding	 	2.376E-7	1.280E-3	4.925E-5	4.516E-4	32	825	MATN2,ACTN1,F2R,LYST,MMP2,CREB3L2,COL12A1,TNC,ANXA2,ANXA6,POU5F1,CHMP2B,VCAN,PROS1,MYC,INHBA,BCL2,NRP1,RGMA,KANK1,DST,PVT1,C9,JAM3,RTN4,ADTRP,EDN1,EDNRA,TGFB2,MACF1,LTBP1,SMAD3
GO: Biological Process	GO:0035239	tube morphogenesis	 	2.577E-7	1.389E-3	4.993E-5	4.579E-4	46	1467	DDAH1,ABL1,ESR1,VSTM4,RIN2,AMOTL1,PKD2,ALCAM,MMP2,FST,JCAD,COL8A1,TNC,ANXA2,RGCC,CHSY1,IGFBP3,MICAL2,OSR1,FOXP1,PROX1,MYC,CYP1B1,BCL2,SIX4,NRP1,STIM1,RGMA,PXDN,SULF1,JAM3,TCF21,RTN4,CASP8,ADTRP,EDN1,EDNRA,TGFB2,FMNL3,THBS4,ANGPTL2,LOXL2,ELL,EPAS1,SMAD3,SMAD7
GO: Biological Process	GO:0007507	heart development	 	2.594E-7	1.398E-3	4.993E-5	4.579E-4	38	1092	ABL1,ACACB,MBD1,RXRG,PKD2,COL14A1,ALCAM,FLRT2,MMP2,FHL2,FOXL1,CHSY1,NOX4,POU5F1,MICAL2,VCAN,OSR1,FOXP1,PROX1,MASP1,ADAM19,INHBA,NRP1,PDLIM3,SIN3B,SYNE1,RTN4,CNTRL,CASP7,CASP8,EDN1,EDNRA,TGFB2,HEYL,LTBP1,SMAD3,SMAD7,PLCE1
GO: Biological Process	GO:0040012	regulation of locomotion	 	3.092E-7	1.667E-3	5.558E-5	5.096E-4	44	1380	ABL1,F2R,SSH1,MTUS1,RIN2,AMOTL1,CMKLR1,FLRT2,MMP2,SMURF2,JCAD,TNC,CARMIL1,RGCC,NOX4,AKAP12,IGFBP3,PDGFD,FOXP1,PROX1,MYC,CYP1B1,BCL2,NRP1,MAGI2,KANK1,SULF1,JAM3,SIN3B,RTN4,ARPIN-AP3S2,LAMA2,LAMB1,LAMC2,ADTRP,EDN1,EDNRA,TGFB2,THBS4,MACF1,CFAP69,SMAD3,SPATA13,SMAD7
GO: Biological Process	GO:0048863	stem cell differentiation	 	3.093E-7	1.667E-3	5.558E-5	5.096E-4	23	475	ABL1,ESR1,F2R,ALCAM,TNC,ANXA6,POU5F1,MIR100,RADIL,METTL5,OSR1,PUM1,MYC,MASP1,BCL2,NRP1,SUPT5H,CAPZB,ADTRP,EDN1,EDNRA,TGFB2,EPAS1
GO: Biological Process	GO:0035295	tube development	 	3.364E-7	1.813E-3	5.801E-5	5.319E-4	54	1880	DDAH1,ABL1,ESR1,VSTM4,RIN2,AMOTL1,PKD2,ALCAM,MMP2,FST,FOXL1,JCAD,FNDC3B,COL8A1,TNC,ANXA2,RGCC,CHSY1,POU5F1,IGFBP3,MICAL2,VCAN,OSR1,FOXP1,PROX1,MYC,CYP1B1,BCL2,SIX4,NRP1,STIM1,RGMA,PXDN,SULF1,JAM3,CRISPLD2,TCF21,RTN4,CASP8,ADTRP,EDN1,EDNRA,TGFB2,FMNL3,HEYL,LIPA,THBS4,ANGPTL2,LOXL2,CLMP,ELL,EPAS1,SMAD3,SMAD7
GO: Biological Process	GO:0048667	cell morphogenesis involved in neuron differentiation	 	3.444E-7	1.856E-3	5.801E-5	5.319E-4	33	882	ABL1,TRIO,MAP2,MATN2,MBP,TENM2,ALCAM,FLRT2,MMP2,COL6A3,ANK3,TNC,CCDC80,BTBD3,FOXP1,FYN,BCL2,TIAM2,NRP1,STIM1,RGMA,PRDM8,DST,NOVA1,ARHGEF28,RTN4,LAMA2,LAMB1,LAMC2,EDN1,EDNRA,TGFB2,MACF1
GO: Biological Process	GO:2000147	positive regulation of cell motility	 	5.737E-7	3.092E-3	9.370E-5	8.592E-4	29	731	ABL1,F2R,SSH1,RIN2,AMOTL1,CMKLR1,MMP2,SMURF2,JCAD,CARMIL1,NOX4,AKAP12,PDGFD,FOXP1,PROX1,MYC,CYP1B1,BCL2,NRP1,JAM3,RTN4,LAMB1,LAMC2,EDN1,EDNRA,TGFB2,THBS4,CFAP69,SMAD3
GO: Biological Process	GO:0051094	positive regulation of developmental process	 	7.178E-7	3.869E-3	1.138E-4	1.043E-3	51	1772	DPF1,CDKN2A,DDAH1,ABL1,ACACB,ANKRD54,RIN2,MLH1,ALCAM,CMKLR1,FLRT2,FST,SMURF2,JCAD,FNDC3B,TNC,CARMIL1,RGCC,POU5F1,MIR100,SLC6A6,IGFBP3,OSR1,PDE5A,ZFHX3,PROX1,MYC,CYP1B1,INHBA,BCL2,SIX4,TIAM2,NRP1,STIM1,SOCS2,NFATC2,SUPT5H,RTN4,LAMA2,LAMB1,CASP8,EDN1,EDNRA,TGFB2,HEYL,LOXL2,MEDAG,MACF1,EPAS1,SMAD3,SMAD7
GO: Biological Process	GO:0030335	positive regulation of cell migration	 	7.508E-7	4.047E-3	1.156E-4	1.060E-3	28	699	ABL1,F2R,SSH1,RIN2,AMOTL1,CMKLR1,MMP2,SMURF2,JCAD,CARMIL1,NOX4,AKAP12,PDGFD,FOXP1,PROX1,MYC,CYP1B1,BCL2,NRP1,JAM3,RTN4,LAMB1,LAMC2,EDN1,EDNRA,TGFB2,THBS4,SMAD3
GO: Biological Process	GO:0031589	cell-substrate adhesion	 	8.297E-7	4.472E-3	1.218E-4	1.117E-3	21	428	CDKN2A,ABL1,ACTN1,RIN2,FNDC3B,COL8A1,CARMIL1,CCDC80,RADIL,BCL2,SIRPA,ITGB5,NRP1,KANK1,JAM3,ARHGEF28,LAMB1,SPRY4,MACF1,PLEKHA2,SMAD3
GO: Biological Process	GO:0001944	vasculature development	 	8.360E-7	4.506E-3	1.218E-4	1.117E-3	40	1239	DDAH1,ABL1,SVEP1,VSTM4,RIN2,AMOTL1,PKD2,MMP2,JCAD,COL8A1,ANXA2,RGCC,MIR100,PDGFD,OSR1,PROX1,MYC,CYP1B1,NRP1,STIM1,PXDN,NFATC2,SULF1,JAM3,TCF21,RTN4,CNTRL,CASP8,ADTRP,EDN1,EDNRA,TGFB2,FMNL3,THBS4,ANGPTL2,LOXL2,LTBP1,ELL,EPAS1,SMAD7
GO: Biological Process	GO:0048646	anatomical structure formation involved in morphogenesis	 	9.249E-7	4.985E-3	1.312E-4	1.203E-3	53	1890	DDAH1,ABL1,ACTN1,VSTM4,AMOTL1,PKD2,MMP2,ALDH1A3,FHL2,FST,JCAD,COL8A1,COL12A1,ANXA2,RGCC,CHSY1,CCDC80,POU5F1,IGFBP3,OSR1,PRICKLE2,FOXP1,PROX1,CYP1B1,INHBA,SIX4,PTGFRN,ITGB5,NRP1,STIM1,RGMA,PXDN,NFATC2,SULF1,JAM3,TCF21,RTN4,LAMB1,CASP8,ADTRP,EDN1,EDNRA,MSGN1,TGFB2,FMNL3,HEYL,THBS4,ANGPTL2,LOXL2,SPRY4,MACF1,EPAS1,SMAD3
GO: Biological Process	GO:0030199	collagen fibril organization	 	9.611E-7	5.180E-3	1.328E-4	1.218E-3	9	74	COL14A1,COL12A1,ANXA2,CYP1B1,PXDN,DPT,TGFB2,LOXL2,LUM
GO: Biological Process	GO:0040017	positive regulation of locomotion	 	1.017E-6	5.481E-3	1.370E-4	1.257E-3	29	752	ABL1,F2R,SSH1,RIN2,AMOTL1,CMKLR1,MMP2,SMURF2,JCAD,CARMIL1,NOX4,AKAP12,PDGFD,FOXP1,PROX1,MYC,CYP1B1,BCL2,NRP1,JAM3,RTN4,LAMB1,LAMC2,EDN1,EDNRA,TGFB2,THBS4,CFAP69,SMAD3
GO: Biological Process	GO:0007167	enzyme-linked receptor protein signaling pathway	 	1.044E-6	5.625E-3	1.372E-4	1.258E-3	40	1250	DOK6,ABL1,TRIO,ESR1,TRPS1,SVEP1,FLRT2,MMP2,FST,SMURF2,JCAD,POU5F1,PALM2AKAP2,IGFBP3,PDGFD,OSR1,RASL11B,NUP93,FYN,INHBA,ZNF423,ITGB5,NRP1,SOCS2,RGMA,MAGI2,KANK1,PTPRE,SULF1,SUPT5H,DYNLRB1,ARHGEF28,RTN4,GRB10,TGFB2,SPRY4,LTBP1,SMAD3,SMAD7,PLCE1
GO: Biological Process	GO:0006935	chemotaxis	 	1.071E-6	5.770E-3	1.374E-4	1.260E-3	31	840	TRIO,MATN2,LYST,TENM2,MTUS1,ACKR2,ALCAM,CMKLR1,FLRT2,MMP2,COL6A3,ANK3,TNC,CCDC80,PDGFD,FOXP1,FYN,SRP54,NRP1,STIM1,JAM3,NOVA1,RTN4,LAMA2,LAMB1,LAMC2,EDN1,EDNRA,TGFB2,THBS4,SMAD3
GO: Biological Process	GO:0042330	taxis	 	1.125E-6	6.065E-3	1.411E-4	1.293E-3	31	842	TRIO,MATN2,LYST,TENM2,MTUS1,ACKR2,ALCAM,CMKLR1,FLRT2,MMP2,COL6A3,ANK3,TNC,CCDC80,PDGFD,FOXP1,FYN,SRP54,NRP1,STIM1,JAM3,NOVA1,RTN4,LAMA2,LAMB1,LAMC2,EDN1,EDNRA,TGFB2,THBS4,SMAD3
GO: Biological Process	GO:0031175	neuron projection development	 	1.320E-6	7.115E-3	1.600E-4	1.467E-3	43	1407	ABL1,TRIO,MAP2,MATN2,MBP,TENM2,ALCAM,FLRT2,MMP2,CREB3L2,COL6A3,COL12A1,ANK3,TNC,GAS7,CCDC80,BTBD3,VCAN,PRICKLE2,FOXP1,FYN,BCL2,TIAM2,NRP1,STIM1,RGMA,MAGI2,PRDM8,KANK1,DST,JAM3,NOVA1,ARHGEF28,RTN4,CAPZB,LAMA2,LAMB1,LAMC2,EDN1,EDNRA,TGFB2,THBS4,MACF1
GO: Biological Process	GO:0007015	actin filament organization	 	1.335E-6	7.198E-3	1.600E-4	1.467E-3	23	517	ABL1,ACTN1,SSH1,WIPF1,CARMIL1,RGCC,GAS7,NOX4,PALM2AKAP2,MICAL2,PROX1,BCL2,SIRPA,ITGB5,MPRIP,NRP1,KANK1,PDLIM3,SVIL,CAPZB,ARPIN-AP3S2,FMNL3,SMAD3
GO: Biological Process	GO:0072075	metanephric mesenchyme development	 	1.437E-6	7.745E-3	1.684E-4	1.544E-3	5	15	PKD2,OSR1,MYC,SIX4,TCF21
GO: Biological Process	GO:0048762	mesenchymal cell differentiation	 	1.817E-6	9.796E-3	2.084E-4	1.911E-3	19	376	ALCAM,TNC,ANXA6,RGCC,RADIL,OSR1,MASP1,BCL2,NRP1,TCF21,RTN4,CAPZB,EDN1,EDNRA,TGFB2,HEYL,LOXL2,SMAD3,SMAD7
GO: Biological Process	GO:0061448	connective tissue development	 	3.527E-6	1.901E-2	3.942E-4	3.614E-3	21	469	TRPS1,EBF2,MSMO1,ALCAM,FOXL1,CREB3L2,ANXA6,CHSY1,PDGFD,OSR1,NRP1,SULF1,CRISPLD2,EDN1,EDNRA,TGFB2,THBS4,LOXL2,LUM,SMAD3,SMAD7
GO: Biological Process	GO:0014812	muscle cell migration	 	3.583E-6	1.931E-2	3.942E-4	3.614E-3	12	163	SSH1,NOX4,AKAP12,IGFBP3,PDGFD,MYC,CYP1B1,BCL2,SIX4,NRP1,GRB10,THBS4
GO: Biological Process	GO:0051216	cartilage development	 	4.433E-6	2.389E-2	4.685E-4	4.296E-3	18	363	TRPS1,MSMO1,ALCAM,FOXL1,CREB3L2,ANXA6,CHSY1,OSR1,NRP1,SULF1,CRISPLD2,EDN1,EDNRA,TGFB2,LOXL2,LUM,SMAD3,SMAD7
